4.197998595675335731e-01 7.577160359071475337e-01 9.831199108052547375e-01 3.993174784947262079e-02
2.379633512715173260e-01 3.718235951673518058e-01 6.418077624421685001e-02 5.949615859905070803e-01
3.842150605281334230e-01 6.326146778079256849e-01 3.800765881923175854e-02 2.655264672676309612e-01
9.306116965665186536e-01 8.863470192599346431e-01 8.879365550873103974e-01 5.533847298724644537e-01
7.466007256796240998e-01 9.417109112923103265e-01 1.159868644130311599e-02 1.661002381318811005e-01
5.572967232119826475e-01 5.821512221130938913e-01 5.334875210251890376e-01 4.114853433731489596e-01
7.892345191609292931e-02 5.335778261176151727e-01 1.998107541733722126e-02 5.276604409685500263e-01
8.486273213815899163e-01 2.663000166306245253e-01 1.619080346437548890e-01 9.157476320964298422e-01
8.802812021250275842e-01 7.734036061395894723e-01 1.329218941252247044e-01 6.333318423828115940e-02
7.482506361025982600e-02 7.688423512194366705e-01 8.828305013236557031e-01 6.261294689771207400e-01
2.654743176504535326e-02 4.656389728395904370e-01 3.676222908367818721e-03 3.580445570015508006e-01
4.056728831321478324e-01 1.320414550885483929e-01 1.887672138154236900e-01 4.622092243699895686e-01
3.743200925407686452e-01 2.546001423569495548e-01 1.118809454848502805e-01 7.177122615922791604e-02
3.510821201160350263e-02 9.740055932607902811e-01 6.131096711447535652e-01 7.968371894910339925e-01
1.023859820858736003e-01 7.412534708013340801e-02 8.332262924040009788e-02 1.484814724005104614e-01
4.485890375429813504e-01 1.332454106297317198e-01 8.076303483890225066e-02 7.033735986456955969e-01
6.211052981681794982e-01 1.501060942628944794e-01 8.617406817988734757e-02 7.802159963549568644e-01
2.978133379952998538e-01 8.996357923865190287e-01 4.064549334883068021e-01 7.797711009497156898e-01
4.008003842671147288e-01 5.470638253308572896e-01 5.573459990273575970e-01 2.058200230536392783e-01
8.998095496720583120e-02 7.560211841229298457e-01 5.064063009196572152e-01 6.905781479978574389e-01
3.928774645347947181e-01 2.375861248442388274e-01 2.557501421357633586e-01 2.402111607493998824e-01
2.378191291615963654e-02 5.566834331599838093e-01 1.131456865034425469e-01 2.603114253536410461e-01
8.686066817562979603e-01 4.230726290529793210e-01 6.415961260333734595e-01 5.586815215177055594e-01
2.037017284396898942e-01 7.107247115011811056e-01 2.102969939245887682e-02 1.998788869534411962e-03
7.161556542845888274e-01 6.461068699099381529e-01 9.895049416500688311e-02 8.335366802721702051e-01
